Student ID,Video ID,Attention %,Mediation %
0.0,0.0,55.26,53.83
0.0,1.0,43.62,48.62
0.0,2.0,43.98,47.32
0.0,3.0,51.06,51.84
0.0,4.0,55.22,47.47
0.0,5.0,49.81,41.05
0.0,6.0,33.59,44.31
0.0,7.0,48.0,50.24
0.0,8.0,55.55,52.88
0.0,9.0,49.93,47.27
1.0,0.0,52.46,62.52
1.0,1.0,40.1,57.92
1.0,2.0,34.72,53.83
1.0,3.0,15.91,35.56
1.0,4.0,46.87,59.86
1.0,5.0,63.65,58.19
1.0,6.0,46.43,63.76
1.0,7.0,52.46,60.57
1.0,8.0,51.89,61.78
1.0,9.0,48.35,62.33
2.0,0.0,61.01,53.34
2.0,1.0,56.78,60.08
2.0,2.0,60.8,66.19
2.0,3.0,42.5,62.95
2.0,4.0,65.27,60.99
2.0,5.0,77.02,64.89
2.0,6.0,55.69,55.73
2.0,7.0,43.19,61.64
2.0,8.0,52.85,58.54
2.0,9.0,42.18,65.05
3.0,0.0,33.81,47.65
3.0,1.0,62.46,55.22
3.0,2.0,62.21,51.3
3.0,3.0,0.0,0.0
3.0,4.0,34.37,52.59
3.0,5.0,47.46,52.3
3.0,6.0,44.58,48.12
3.0,7.0,46.57,45.0
3.0,8.0,50.88,59.29
3.0,9.0,25.8,49.12
4.0,0.0,54.36,51.65
4.0,1.0,42.56,43.11
4.0,2.0,47.39,62.54
4.0,3.0,40.12,43.62
4.0,4.0,49.98,57.6
4.0,5.0,58.46,69.98
4.0,6.0,38.47,45.67
4.0,7.0,36.55,49.3
4.0,8.0,36.63,50.71
4.0,9.0,43.01,55.17
5.0,0.0,48.93,49.49
5.0,1.0,51.75,48.9
5.0,2.0,48.24,59.85
5.0,3.0,37.8,52.91
5.0,4.0,47.91,56.59
5.0,5.0,46.83,55.67
5.0,6.0,43.51,59.97
5.0,7.0,49.87,52.15
5.0,8.0,43.02,50.83
5.0,9.0,47.07,56.77
6.0,0.0,0.0,0.0
6.0,1.0,0.0,0.0
6.0,2.0,0.0,0.0
6.0,3.0,0.0,0.0
6.0,4.0,0.0,0.0
6.0,5.0,0.0,0.0
6.0,6.0,0.0,0.0
6.0,7.0,0.0,0.0
6.0,8.0,0.0,0.0
6.0,9.0,0.0,0.0
7.0,0.0,46.36,43.64
7.0,1.0,43.22,51.96
7.0,2.0,56.07,48.78
7.0,3.0,20.51,57.97
7.0,4.0,50.42,47.36
7.0,5.0,28.59,54.2
7.0,6.0,60.88,61.63
7.0,7.0,39.31,42.81
7.0,8.0,48.31,42.07
7.0,9.0,53.65,54.19
8.0,0.0,50.69,49.75
8.0,1.0,50.05,64.42
8.0,2.0,52.92,49.93
8.0,3.0,53.64,54.31
8.0,4.0,34.37,52.59
8.0,5.0,33.31,46.07
8.0,6.0,47.76,46.24
8.0,7.0,50.93,48.35
8.0,8.0,36.94,47.89
8.0,9.0,29.6,39.66
9.0,0.0,35.0,57.85
9.0,1.0,58.06,41.11
9.0,2.0,39.77,56.61
9.0,3.0,42.66,62.23
9.0,4.0,38.91,50.42
9.0,5.0,49.81,41.05
9.0,6.0,29.62,53.29
9.0,7.0,27.63,48.37
9.0,8.0,55.55,52.88
9.0,9.0,45.26,46.56
