subjectid,videoid,attention,mediation,theta,formula_score,confusion_level,theta_mean,theta_std,theta_max,theta_min,predicted_confusion
0,0,55.25694444444444,53.82638888888889,124965.5902777778,128286.8277435528,3,31004.92305002686,27824.55449322016,58829.47754324702,3180.3685568067012,3
0,1,43.62142857142857,48.62142857142857,161064.2285714286,144501.1376356272,3,147430.14314095615,34204.12406148481,181634.26720244094,113226.01907947134,3
0,2,43.97887323943662,47.3169014084507,149816.8732394366,139247.8603036585,3,114364.7107144051,32165.945554355807,146530.6562687609,82198.76516004928,3
0,3,51.05737704918032,51.84426229508197,162653.3606557377,160184.6298062593,4,181881.77772298973,36695.93428193537,218577.7120049251,145185.84344105437,4
0,4,55.22413793103448,47.47413793103448,126893.9482758621,147608.9763310645,3,211512.0867822705,32273.421322106547,243785.50810437705,179238.66546016393,3
0,5,49.8130081300813,41.04878048780488,282487.512195122,342800.7500929912,7,170369.21482922052,29813.714891076972,200182.92972029748,140555.49993814356,6
0,6,33.58620689655172,44.31034482758621,212861.8793103448,161344.334979203,4,264587.1308931087,38276.21709592318,302863.3479890319,226310.91379718555,4
0,7,48.0,50.24107142857143,114145.2767857143,109053.6712280078,3,-9594.310671018902,49057.7660514681,39463.455380449195,-58652.076722487,3
0,8,55.54838709677419,52.87903225806452,198926.0483870968,208967.9154019098,5,237252.83770169114,36971.171379009764,274224.0090807009,200281.66632268138,4
0,9,49.9344262295082,47.27049180327869,130773.5,138143.256805965,3,145124.00475143685,24954.774583274688,170078.77933471155,120169.23016816216,3
1,0,52.45714285714286,62.52142857142857,83320.41428571429,69908.0455288799,2,173360.15001022277,27551.402457744276,200911.55246796703,145808.7475524785,2
1,1,40.09859154929578,57.92253521126761,143226.676056338,99152.91105954879,3,90925.81528990931,16354.916316142866,107280.73160605217,74570.89897376645,3
1,2,34.72131147540983,53.82786885245902,153239.7704918033,98846.30239124084,3,201180.19813788813,49530.21508755407,250710.4132254422,151649.98305033406,3
1,3,15.9051724137931,35.56034482758621,281278.8534482759,125808.3599059561,3,163594.50907808103,21414.065322356942,185008.57440043797,142180.4437557241,3
1,4,46.86805555555556,59.86111111111111,140224.9166666667,109788.6267498066,3,199155.49314355417,27471.448456036345,226626.9415995905,171684.04468751783,3
1,5,63.65040650406504,58.1869918699187,92079.60162601626,100725.3320008497,3,188011.54448991176,25497.461826268413,213509.00631618017,162514.08266364335,3
1,6,46.42741935483871,63.75806451612903,93126.89516129032,67813.24758962159,2,66136.61190523744,46915.47236728747,113052.08427252491,19221.139537949974,2
1,7,52.45901639344262,60.5655737704918,112300.6721311475,97269.49541742378,3,127439.97945933019,42107.53394448667,169547.51340381685,85332.44551484352,3
1,8,51.88549618320611,61.77862595419847,88813.46564885497,74591.02014274894,2,181414.833764687,27769.244929399647,209184.07869408664,153645.58883528737,2
1,9,48.35036496350365,62.32846715328467,87977.08029197081,68246.88837732928,2,323492.3941752262,49681.727092650006,373174.12126787624,273810.6670825762,2
2,0,61.00714285714286,53.34285714285714,14054.80714285714,16074.19761745352,1,32045.86730136037,32445.455796231457,64491.32309759183,-399.5884948710882,2
2,1,56.78169014084507,60.07746478873239,17893.12676056338,16911.53218502198,1,251911.90731674686,50501.339886317954,302413.2472030648,201410.5674304289,2
2,2,60.80327868852459,66.18852459016394,17323.95081967213,15914.43556412729,1,254640.67016606047,35202.57505787231,289843.2452239328,219438.09510818816,2
2,3,42.5,62.94827586206897,15320.43103448276,10343.70377978636,1,263288.51671207976,32585.737155414317,295874.25386749406,230702.77955666545,2
2,4,65.27083333333333,60.99305555555556,18574.79861111111,19877.55119501688,1,-24499.211677925137,25813.812044695766,1314.6003667706282,-50313.0237226209,2
2,5,77.02439024390245,64.88617886178862,38518.95121951219,45724.66405884708,2,92999.55292067405,26718.541839748712,119718.09476042275,66281.01108092534,2
2,6,55.68965517241379,55.73275862068966,12021.1724137931,12011.8752966904,1,154410.13507973016,19186.7121617702,173596.84724150036,135223.42291795995,2
2,7,43.1858407079646,61.63716814159292,23207.69026548673,16260.37738629938,1,156201.9229520435,26996.009957170252,183197.93290921376,129205.91299487324,2
2,8,52.85496183206107,58.54198473282442,19107.0534351145,17250.91119894808,1,182775.89966242464,37636.677686027964,220412.57734845259,145139.2219763967,2
2,9,42.17518248175183,65.05109489051095,17538.70072992701,11371.02926587952,1,88058.90996694754,21659.77545052395,109718.68541747148,66399.1345164236,2
3,0,33.81428571428572,47.65,238739.65,169418.9031779343,4,204843.77922602603,9120.497017345893,213964.27624337192,195723.28220868015,4
3,1,62.45774647887324,55.21830985915493,151072.2464788732,170878.6830788327,4,147119.08015353806,36906.296023272,184025.37617681007,110212.78413026605,4
3,2,62.20689655172414,51.30172413793103,132953.1206896552,161214.8746255338,4,108012.95769294584,10885.420135790246,118898.37782873609,97127.53755715559,4
3,4,34.36805555555556,52.59027777777778,324912.5833333333,212332.2824398081,5,86184.00943041133,29040.0158287673,115224.02525917863,57143.99360164403,4
3,5,47.46341463414634,52.30081300813008,191672.3739837398,173944.2436370392,4,178795.8712041336,35416.231980589066,214212.10318472268,143379.63922354454,4
3,6,44.58407079646017,48.11504424778761,281697.5663716814,261024.8922899634,6,175006.88404641044,42532.27095187782,217539.15499828826,132474.61309453263,5
3,7,46.57258064516129,45.0,235449.814516129,243677.8994320153,5,151948.79553757567,38465.323843238744,190414.11938081443,113483.47169433693,5
3,8,50.87786259541985,59.29007633587786,182131.7328244275,156290.4595435573,4,189153.63538196828,22717.559825895853,211871.19520786413,166436.07555607244,4
3,9,25.79562043795621,49.11678832116788,336304.2627737226,176623.4603421513,4,225560.43044196637,21800.499906016303,247360.93034798268,203759.93053595006,4
4,0,54.35714285714285,51.65,78786.85,82916.32256949246,2,130964.28428151936,31858.780428030754,162823.06470955012,99105.5038534886,2
4,1,42.56338028169014,43.1056338028169,134631.9436619718,132938.3217599996,3,72580.53580054872,19532.368829146177,92112.9046296949,53048.16697140255,3
4,2,47.39344262295082,62.54098360655738,128973.4344262295,97735.8319596932,3,231289.3506463342,32635.960007592766,263925.310653927,198653.39063874143,3
4,3,40.12068965517241,43.62068965517241,125687.1465517241,115602.367599155,3,119954.06358504292,37260.665656310106,157214.72924135302,82693.39792873283,3
4,4,49.97916666666666,57.60416666666666,124686.3958333333,108181.795155214,3,129699.37628853886,17317.181646561723,147016.55793510057,112382.19464197714,3
4,5,58.46341463414634,69.97560975609755,88324.51219512195,73793.60604102729,2,89162.77394431521,25659.766329834307,114822.54027414952,63503.0076144809,3
4,6,38.46774193548387,45.66935483870968,90363.87903225806,76114.37453361662,2,127702.14288234671,10394.873932483864,138097.01681483057,117307.26894986285,2
4,7,36.54918032786885,49.29508196721311,124507.7049180328,92314.57536240575,2,63107.18743014647,20744.383651387834,83851.5710815343,42362.803778758636,3
4,8,36.63358778625954,50.70992366412214,110029.9007633588,79487.20363741663,2,59835.63575008967,31204.286457010425,91039.9222071001,28631.349293079245,2
4,9,43.00763358778626,55.16793893129771,83741.81679389313,65283.15979200137,2,163947.81502221152,24165.911428349573,188113.72645056108,139781.90359386196,2
5,0,48.93055555555556,49.49305555555556,170439.2361111111,168502.1548532186,4,146589.2737694899,8723.08217755207,155312.35594704197,137866.19159193782,4
5,1,51.75,48.9,253079.7928571429,267829.8421340929,6,247542.58966245432,52806.53078391515,300349.12044636946,194736.0588785392,5
5,2,48.23943661971831,59.85211267605634,276656.1690140845,222978.5572121989,5,219402.23638260047,28814.35400662109,248216.59038922156,190587.8823759794,5
5,3,37.79508196721311,52.90983606557377,284354.6557377049,203123.0546253381,4,176602.38377246942,32287.802666936048,208890.18643940546,144314.58110553338,4
5,4,47.91379310344828,56.5948275862069,171881.75,145516.94843869,3,102738.30131224677,23058.717689536174,125797.01900178294,79679.58362271059,3
5,5,46.82926829268293,55.67479674796748,323949.2357723577,272480.6656029177,6,201420.2559391064,39783.686298012726,241203.94223711913,161636.56964109367,5
5,6,43.50862068965517,59.96551724137931,358190.0344827586,259888.6003499831,6,63010.458753945204,27070.617446851356,90081.07620079655,35939.84130709385,5
5,7,49.86725663716814,52.1504424778761,152505.0530973451,145828.2664523231,3,247413.41519544652,24692.139211253045,272105.55440669955,222721.2759841935,3
5,8,43.0241935483871,50.83064516129032,263280.0806451613,222846.1415582953,5,56930.0582538867,36094.97432436961,93025.0325782563,20835.083929517095,5
5,9,47.07377049180328,56.77049180327869,164886.5,136722.952570026,3,178893.20237852607,23667.356479998634,202560.55885852472,155225.84589852742,3
7,0,46.36428571428571,43.64285714285715,126586.9142857143,134480.4681879822,3,246945.73039116556,33601.14720159559,280546.8775927611,213344.58318956997,3
7,1,43.21830985915493,51.95774647887324,171766.176056338,142874.6303141429,3,160447.63703047152,32765.99452273604,193213.63155320755,127681.64250773548,3
7,2,56.07377049180328,48.77868852459017,66519.5737704918,76467.8884496613,2,273717.81528720923,22378.13812738806,296095.9534145973,251339.67715982118,2
7,3,20.50862068965517,57.96551724137931,235540.1551724138,83335.81635264313,2,126426.7761457421,40761.56871613162,167188.34486187372,85665.20742961048,3
7,4,50.42361111111111,47.36111111111111,112684.25,119970.7242302053,3,143005.5601466196,33156.4720644201,176162.03221103968,109849.0880821995,3
7,5,28.58536585365854,54.20325203252033,197816.0731707317,104322.9808412018,3,205686.05601581454,23319.785715044884,229005.84173085942,182366.27030076965,3
7,6,60.87931034482759,61.62931034482759,81636.7672413793,80643.28581040993,2,149060.6259417069,34829.07578714632,183889.70172885322,114231.5501545606,2
7,7,39.30645161290322,42.81451612903226,122886.0241935484,112817.1938066218,3,209096.79739732275,35321.26498873536,244418.0623860581,173775.5324085874,3
7,8,48.31297709923664,42.06870229007634,110202.4580152672,126559.8542512477,3,125655.40616844725,25110.09138728234,150765.49755572958,100545.31478116491,3
7,9,53.65254237288136,54.19491525423729,76548.72881355933,75782.64302089822,2,166123.32188703137,29230.439895573418,195353.7617826048,136892.88199145795,2
8,0,50.69285714285714,49.75,211780.8428571429,215794.4927145934,5,20442.022691811508,24113.72367808656,44555.74636989807,-3671.700986275053,4
8,1,50.04929577464789,64.41549295774648,160941.9788732394,125048.0642672038,3,98195.39713504122,39928.580264307384,138123.9773993486,58266.816870733834,3
8,2,52.91803278688525,49.92622950819672,169918.2950819672,180100.5603429947,4,180520.90939861443,15606.267018267448,196127.17641688188,164914.64238034698,4
8,3,53.63793103448276,54.31034482758621,173771.5948275862,171620.1369868637,4,57217.560234839926,28520.00655182675,85737.56678666668,28697.553683013175,4
8,4,34.36805555555556,52.59027777777778,324912.5833333333,212332.2824398081,5,147586.8241544989,32187.14913559652,179773.97329009543,115399.67501890237,4
8,5,33.3089430894309,46.0650406504065,270415.0243902439,195533.0665243257,4,188149.27458841424,28175.600108948365,216324.8746973626,159973.67447946587,4
8,6,47.75806451612903,46.24193548387097,215770.8064516129,222845.2591221576,5,88861.19692943763,19064.175860734547,107925.37279017217,69797.02106870309,5
8,7,50.9344262295082,48.35245901639344,203572.5737704918,214443.12144598,5,153006.59417234943,34495.84127486692,187502.43544721635,118510.75289748251,4
8,8,36.93893129770992,47.88549618320611,298036.2442748091,229905.5294190661,5,189780.7625674374,20239.106158826562,210019.86872626396,169541.65640861084,5
8,9,29.60169491525424,39.66101694915254,336215.3050847457,250940.1839019267,5,106192.00153457794,41583.519979889155,147775.52151446708,64608.481554688784,5
9,0,35.0,57.84722222222222,232927.6458333333,140931.012605042,3,85915.30116462178,35895.822490179184,121811.12365480096,50019.478674442595,3
9,1,58.05714285714286,41.11428571428571,99995.65,141203.030437804,3,98406.51165562864,31563.04983598304,129969.56149161168,66843.4618196456,3
9,2,39.77464788732394,56.6056338028169,161300.5704225352,113339.8384855037,3,195809.01417068735,22192.69958922711,218001.71375991448,173616.31458146023,3
9,3,42.65573770491803,62.22950819672131,177976.1393442623,121995.2356622156,3,42920.8188508896,11735.907161188545,54656.72601207814,31184.911689701054,3
9,4,38.91379310344828,50.42241379310344,159156.5862068966,122830.0273786854,3,8850.340610201005,25198.93481433973,34049.275424540734,-16348.594204138724,3
9,5,49.8130081300813,41.04878048780488,282487.512195122,342800.7500929912,7,93004.09465613088,37778.28734851614,130782.38200464702,55225.80730761474,6
9,6,29.62068965517241,53.29310344827586,193226.8706896552,107396.8825120762,3,152784.15145818246,9113.044738263357,161897.19619644582,143671.1067199191,3
9,7,27.63392857142857,48.36607142857143,137478.2678571429,78548.13347200613,2,130717.24417689911,34524.747756171164,165241.99193307027,96192.49642072796,3
9,8,55.54838709677419,52.87903225806452,198926.0483870968,208967.9154019098,5,211764.59761038434,33449.300272490924,245213.89788287526,178315.29733789343,4
9,9,45.26229508196721,46.55737704918032,162498.6803278688,157978.4705581852,4,133730.97297458668,10141.51273055757,143872.48570514424,123589.4602440291,4
