subjectid,videoid,attention,mediation,theta,formula_score,formula_score_scaled,confusion_level,theta_mean,theta_std,theta_max,theta_min,predicted_confusion
0,0,55.2569,53.8264,124965.5903,102.6577,222501.1246,5,24520.5052,37289.4573,61809.9626,-12768.9521,5
0,1,43.6214,48.6214,161064.2286,89.7165,179701.3033,4,72766.9345,29626.6750,102393.6096,43140.2595,4
0,2,43.9789,47.3169,149816.8732,92.9454,190380.0828,4,251260.1613,28288.8953,279549.0567,222971.2660,5
0,3,51.0574,51.8443,162653.3607,98.4822,208691.7200,5,29433.0323,35961.9154,65394.9477,-6528.8831,4
0,4,55.2241,47.4741,126893.9483,116.3247,267701.0190,6,152229.3016,48305.1694,200534.4710,103924.1322,6
0,5,49.8130,41.0488,282487.5122,121.3508,284323.4843,6,203893.0531,41713.5364,245606.5894,162179.5167,6
0,6,33.5862,44.3103,212861.8793,75.7977,133668.4911,3,270850.7344,35546.2229,306396.9574,235304.5115,3
0,7,48.0000,50.2411,114145.2768,95.5394,198959.0120,4,136361.3519,24332.0392,160693.3911,112029.3128,4
0,8,55.5484,52.8790,198926.0484,105.0480,230406.4805,5,13707.0091,41420.4697,55127.4787,-27713.4606,5
0,9,49.9344,47.2705,130773.5000,105.6355,232349.3915,5,200782.8113,20264.6051,221047.4164,180518.2062,5
1,0,52.4571,62.5214,83320.4143,83.9027,160473.6543,4,402330.0105,18694.8210,421024.8315,383635.1895,6
1,1,40.0986,57.9225,143226.6761,69.2280,111940.9150,3,145375.2964,16865.9177,162241.2141,128509.3787,3
1,2,34.7213,53.8279,153239.7705,64.5043,96318.7612,3,125933.1329,7141.4090,133074.5418,118791.7239,3
1,3,15.9052,35.5603,281278.8534,44.7273,30911.2675,2,280413.0997,37067.4768,317480.5765,243345.6228,1
1,4,46.8681,59.8611,140224.9167,78.2947,141926.6617,3,173175.5195,49326.6152,222502.1347,123848.9043,4
1,5,63.6504,58.1870,92079.6016,109.3894,244764.4257,5,207414.1036,19270.3104,226684.4140,188143.7932,5
1,6,46.4274,63.7581,93126.8952,72.8181,123814.3978,3,183489.8678,36152.7079,219642.5757,147337.1599,3
1,7,52.4590,60.5656,112300.6721,86.6152,169444.7953,4,201247.0295,27830.7364,229077.7659,173416.2932,4
1,8,51.8855,61.7786,88813.4656,83.9862,160749.8053,4,299684.4154,12993.9439,312678.3593,286690.4715,4
1,9,48.3504,62.3285,87977.0803,77.5735,139541.5561,3,177424.5637,23804.9281,201229.4918,153619.6356,3
2,0,61.0071,53.3429,14054.8071,114.3680,261229.7184,5,271723.2618,8174.8100,279898.0718,263548.4519,6
2,1,56.7817,60.0775,17893.1268,94.5141,195568.3018,4,236105.3347,32346.0469,268451.3815,203759.2878,4
2,2,60.8033,66.1885,17323.9508,91.8638,186802.9672,4,174361.1421,33061.4721,207422.6142,141299.6700,4
2,3,42.5000,62.9483,15320.4310,67.5157,106278.2122,3,128714.1784,42223.9996,170938.1780,86490.1788,3
2,4,65.2708,60.9931,18574.7986,107.0135,236906.8879,5,173813.0447,18904.6405,192717.6853,154908.4042,5
2,5,77.0244,64.8862,38518.9512,118.7069,275579.6940,6,179998.0036,19877.2478,199875.2515,160120.7558,6
2,6,55.6897,55.7328,12021.1724,99.9227,213455.6231,5,179671.2953,31181.4223,210852.7176,148489.8730,4
2,7,43.1858,61.6372,23207.6903,70.0646,114707.9010,3,89786.9736,21737.6453,111524.6189,68049.3283,3
2,8,52.8550,58.5420,19107.0534,90.2856,181583.4430,4,238989.9760,16553.6295,255543.6055,222436.3465,4
2,9,42.1752,65.0511,17538.7007,64.8339,97408.8005,3,213102.6652,25125.8523,238228.5176,187976.8129,3
3,0,33.8143,47.6500,238739.6500,70.9639,117681.9846,3,202950.9973,18373.4079,221324.4051,184577.5894,3
3,1,62.4577,55.2183,151072.2465,113.1106,257071.2044,5,17060.5144,23237.3575,40297.8718,-6176.8431,5
3,2,62.2069,51.3017,132953.1207,121.2569,284013.1630,6,22495.3080,35592.8251,58088.1330,-13097.5171,5
3,4,34.3681,52.5903,324912.5833,65.3506,99117.5050,3,64086.8003,10702.6305,74789.4308,53384.1697,3
3,5,47.4634,52.3008,191672.3740,90.7508,183122.1389,4,157279.6078,44349.1986,201628.8064,112930.4093,4
3,6,44.5841,48.1150,281697.5664,92.6614,189440.8777,4,80150.5839,26899.0827,107049.6666,53251.5013,4
3,7,46.5726,45.0000,235449.8145,103.4946,225268.9601,5,268784.6462,50636.8444,319421.4906,218147.8018,4
3,8,50.8779,59.2901,182131.7328,85.8118,166787.5240,4,164639.8652,37602.3551,202242.2203,127037.5100,4
3,9,25.7956,49.1168,336304.2628,52.5189,56680.2016,2,260497.3229,26149.6822,286647.0051,234347.6407,2
4,0,54.3571,51.6500,78786.8500,105.2413,231045.7098,5,148206.8787,33938.9420,182145.8207,114267.9367,5
4,1,42.5634,43.1056,134631.9437,98.7420,209551.0141,5,211649.5808,32567.2706,244216.8515,179082.3102,5
4,2,47.3934,62.5410,128973.4344,75.7798,133609.4607,3,133607.6753,28111.3813,161719.0566,105496.2940,3
4,3,40.1207,43.6207,125687.1466,91.9763,187175.0564,4,63175.4362,37884.4490,101059.8852,25290.9872,4
4,4,49.9792,57.6042,124686.3958,86.7631,169933.8416,4,135315.7936,22498.7999,157814.5935,112816.9937,4
4,5,58.4634,69.9756,88324.5122,83.5483,159301.6108,4,162078.4266,20250.3886,182328.8152,141828.0380,4
4,6,38.4677,45.6694,90363.8790,84.2310,161559.4575,4,112522.8419,26910.3192,139433.1612,85612.5227,4
4,7,36.5492,49.2951,124507.7049,74.1437,128198.3154,3,198038.4415,10259.4677,208297.9093,187778.9738,3
4,8,36.6336,50.7099,110029.9008,72.2415,121907.2596,3,152931.7932,30641.3413,183573.1344,122290.4519,3
4,9,43.0076,55.1679,83741.8168,77.9577,140812.1062,3,331858.4032,28572.5624,360430.9655,303285.8408,2
5,0,48.9306,49.4931,170439.2361,98.8635,209952.6496,5,133592.1681,27142.7106,160734.8787,106449.4576,4
5,1,51.7500,48.9000,253079.7929,105.8282,232986.7245,5,132391.2638,33233.2304,165624.4942,99158.0333,5
5,2,48.2394,59.8521,276656.1690,80.5977,149543.4118,4,51447.2969,39581.2482,91028.5451,11866.0487,4
5,3,37.7951,52.9098,284354.6557,71.4330,119233.4906,3,72363.6835,26128.9654,98492.6489,46234.7182,3
5,4,47.9138,56.5948,171881.7500,84.6611,162981.9293,4,194532.1066,28621.2368,223153.3433,165910.8698,4
5,5,46.8293,55.6748,323949.2358,84.1121,161166.4799,4,112876.3506,27133.2681,140009.6187,85743.0825,4
5,6,43.5086,59.9655,358190.0345,72.5561,122947.7486,3,232939.3754,20416.3589,253355.7343,212523.0165,3
5,7,49.8673,52.1504,152505.0531,95.6219,199232.0594,4,58705.2037,41741.3538,100446.5575,16963.8498,4
5,8,43.0242,50.8306,263280.0806,84.6422,162919.5956,4,191598.6847,45931.6456,237530.3303,145667.0391,4
5,9,47.0738,56.7705,164886.5000,82.9194,157221.8843,4,72863.2637,31401.5188,104264.7825,41461.7449,4
7,0,46.3643,43.6429,126586.9143,106.2357,234334.2867,5,145508.5708,28561.0958,174069.6666,116947.4750,5
7,1,43.2183,51.9577,171766.1761,83.1797,158082.7239,4,119713.1040,24520.4081,144233.5120,95192.6959,4
